#{"t_start": 1752083390.4125154, "env_id": "None"}
r,l,t
-0.835516,10,7.950953
-0.835516,10,7.953538
-0.835516,10,7.953538
-0.835516,10,7.953538
-0.835516,10,7.968672
-0.835516,10,7.968672
-0.835516,10,7.984644
-0.835516,10,7.986157
-0.835516,10,7.986157
-0.835516,10,8.000686
-0.835516,10,8.000686
-0.835516,10,8.000686
-0.835516,10,8.018378
-0.835516,10,8.024403
-0.835516,10,8.02842
-0.835516,10,8.034184
-0.835516,10,8.0409
-0.835516,10,8.0469
-0.835516,10,8.052899
-0.835516,10,8.058341
-0.835516,10,8.06434
-0.835516,10,8.070172
-0.835516,10,8.075417
-0.835516,10,8.081413
-0.835516,10,8.086788
-0.835516,10,8.092082
-0.835516,10,8.098076
-0.835516,10,8.103502
-0.835516,10,8.103502
-0.835516,10,8.103502
-0.835516,10,8.119193
-0.835516,10,8.119193
-0.835516,10,8.119193
-0.835516,10,8.135069
-0.835516,10,8.135069
-0.835516,10,8.135069
-0.835516,10,8.150936
-0.835516,10,8.150936
-0.835516,10,8.150936
-0.835516,10,8.166699
-0.835516,10,8.166699
-0.835516,10,8.166699
-0.835516,10,8.186621
-0.835516,10,8.186621
-0.835516,10,8.198247
-0.835516,10,8.198247
-0.835516,10,8.198247
-0.835516,10,8.21608
-0.835516,10,8.21608
-0.835516,10,8.21608
-0.835516,10,8.232593
-0.835516,10,8.238591
-0.835516,10,8.244591
-0.835516,10,8.248328
-0.835516,10,8.248328
-0.835516,10,8.248328
-0.835516,10,8.263524
-0.835516,10,8.263524
-0.835516,10,8.263524
-0.835516,10,8.284547
-0.835516,10,8.290262
-0.835516,10,8.295261
-0.835516,10,8.300132
-0.835516,10,8.300132
-0.835516,10,8.300132
-0.835516,10,8.316525
-0.835516,10,8.316525
-0.835516,10,8.316525
-0.835516,10,8.335929
-0.835516,10,8.341932
-0.835516,10,8.347933
-0.835516,10,8.35007
-0.835516,10,8.35007
-0.835516,10,8.364719
-0.835516,10,8.367339
-0.835516,10,8.367339
-0.835516,10,8.367339
-0.835516,10,9.789809
-0.835516,10,9.805937
-0.835516,10,9.807474
-0.835516,10,9.818088
-0.835516,10,9.824159
-0.835516,10,9.829041
-0.835516,10,9.831721
-0.835516,10,9.831721
-0.835516,10,9.831721
-0.835516,10,9.847152
-0.835516,10,9.847152
-0.835516,10,9.863016
-0.835516,10,9.863016
-0.835516,10,9.863016
-0.835516,10,9.879223
-0.835516,10,9.879223
-0.835516,10,9.889056
-0.835516,10,9.895237
-0.835516,10,9.895237
-0.835516,10,9.895237
-0.835516,10,9.911063
-0.835516,10,9.911063
-0.835516,10,9.911063
-0.835516,10,9.927
-0.835516,10,9.927
-0.835516,10,9.927
-0.835516,10,9.942912
-0.835516,10,9.953375
-0.835516,10,9.958372
-0.835516,10,9.964379
-0.835516,10,9.970225
-0.835516,10,9.975315
-0.835516,10,9.981678
-0.835516,10,9.987201
-0.835516,10,9.992898
-0.835516,10,9.998376
-0.835516,10,10.000059
-0.835516,10,10.000059
-0.835516,10,10.016234
-0.835516,10,10.017028
-0.835516,10,10.017028
-0.835516,10,10.033731
-0.835516,10,10.038738
-0.835516,10,10.044721
-0.835516,10,10.049713
-0.835516,10,10.049713
-0.835516,10,10.049713
-0.835516,10,10.067008
-0.835516,10,10.067008
-0.835516,10,10.067008
-0.835516,10,10.084006
-0.835516,10,10.089578
-0.835516,10,10.089578
-0.835516,10,10.100396
-0.835516,10,10.100396
-0.835516,10,10.100396
-0.835516,10,10.118753
-0.835516,10,10.118753
-0.835516,10,10.118753
-0.835516,10,10.133998
-0.835516,10,10.133998
-0.835516,10,10.148193
-0.835516,10,10.149954
-0.835516,10,10.149954
-0.835516,10,10.165962
-0.835516,10,10.168775
-0.835516,10,10.168775
-0.835516,10,10.18304
-0.835516,10,10.18977
-0.835516,10,10.18977
-0.835516,10,10.200326
-0.835516,10,10.200326
-0.835516,10,10.200326
-0.835516,10,10.218062
-0.835516,10,10.218758
