#{"t_start": 1752135760.0059714, "env_id": "None"}
r,l,t
2.260516,10,222.478518
1.963038,10,222.911664
1.82125,10,223.229324
1.92887,10,223.516035
2.964181,10,223.777417
1.409204,10,224.027418
2.324387,10,224.248798
2.732895,10,224.462708
2.252381,10,224.682544
2.682424,10,224.932914
2.006549,10,225.165846
1.912776,10,225.435186
2.872749,10,225.669558
2.478179,10,226.033033
2.236613,10,226.406045
2.139591,10,226.818456
2.519278,10,227.208046
2.566126,10,227.587837
2.786561,10,228.011142
2.274384,10,228.424897
2.561039,10,228.861442
2.729346,10,229.227708
2.241478,10,229.667958
1.773491,10,230.082747
2.278323,10,230.515881
1.984639,10,230.97255
1.65061,10,231.378201
3.088125,10,231.82264
1.731453,10,232.129927
2.201261,10,232.412708
3.255374,10,232.730677
2.747257,10,233.08809
2.284319,10,233.516222
3.098495,10,233.952234
1.985166,10,234.314649
2.356878,10,234.714786
1.829724,10,235.08526
2.703291,10,235.381811
2.448591,10,235.713462
3.127011,10,236.172982
2.00047,10,236.542975
3.155185,10,236.84684
2.359306,10,237.16711
3.007663,10,237.563576
1.979735,10,237.895585
2.273581,10,238.337465
3.122267,10,238.802846
1.439049,10,239.271232
2.752445,10,239.733707
3.149369,10,240.197541
2.295584,10,240.6494
1.909,10,241.026281
1.951022,10,241.494081
2.902768,10,241.902545
1.774652,10,242.243834
3.084344,10,242.620876
3.42325,10,243.045775
2.290559,10,243.378432
3.299855,10,243.729314
2.789955,10,244.149567
2.401754,10,244.511672
3.240003,10,244.813098
2.492244,10,245.211352
2.287448,10,245.42759
2.796134,10,245.642602
2.074196,10,245.86731
2.120066,10,246.075004
2.330472,10,246.348449
1.976755,10,246.825993
2.235541,10,247.262189
2.277077,10,247.538407
3.441569,10,247.868038
2.206879,10,248.299509
1.795351,10,248.573163
1.779884,10,248.770278
2.550309,10,249.047522
2.596249,10,249.396635
2.543402,10,249.862117
2.585621,10,250.339236
2.840684,10,250.712044
2.184388,10,251.096502
1.518466,10,251.392714
2.702052,10,251.854398
2.170211,10,252.301348
1.552349,10,252.684707
2.404137,10,253.147901
2.105999,10,253.46134
2.034288,10,253.751735
2.902394,10,254.053917
2.044307,10,254.504148
1.615038,10,254.961663
2.64505,10,255.41278
1.875579,10,255.624038
2.55264,10,255.871024
2.268611,10,256.152464
1.952875,10,256.479356
2.255973,10,256.785879
2.470857,10,257.114074
2.376729,10,257.409472
2.500446,10,257.664714
2.26018,10,258.051179
2.303053,10,258.422063
2.75394,10,258.718313
2.063419,10,259.027042
2.618097,10,259.316068
3.020111,10,259.639075
2.180128,10,260.209108
1.926042,10,260.94003
2.594994,10,261.675924
1.957858,10,262.178659
1.901383,10,262.768058
2.074942,10,263.284014
2.292863,10,263.958189
2.828384,10,264.493493
1.757057,10,265.004509
2.353954,10,265.500478
2.399641,10,265.989812
2.816413,10,266.521189
4.449039,10,267.252037
2.605595,10,268.100455
3.620242,10,268.880559
2.538708,10,269.7803
2.078854,10,270.172801
2.383824,10,270.558631
2.389127,10,270.911836
2.518879,10,271.61888
2.665992,10,271.973928
2.029002,10,272.297746
3.432714,10,272.52861
2.711264,10,272.772005
2.830765,10,273.230853
2.508003,10,273.899509
2.301383,10,274.430596
2.700096,10,274.666982
3.103285,10,274.924038
2.282629,10,275.343388
2.145631,10,275.893324
3.09858,10,276.243182
2.118715,10,277.303433
2.189002,10,278.753443
2.500518,10,279.806561
